Model,Exact Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Precision@15,Recall@15,F1@15
Logistic Regression,0.0,0.05244145490782262,0.6038961038961039,0.3835051546391753,0.4691046658259773,0.48518518518518516,0.5684291083667683,0.5055863806862395
SVM,0.0,0.08731938216243149,0.38183807439824946,0.7195876288659794,0.498927805575411,0.47777777777777775,0.5636195392456049,0.4987872164870566
Random Forest,0.0,0.06153462879920279,0.4910891089108911,0.511340206185567,0.501010101010101,0.4666666666666667,0.5573683867401898,0.49002164663065606
Extra Trees,0.0,0.06614349775784753,0.4602076124567474,0.5484536082474227,0.5004703668861712,0.44999999999999996,0.5310582498908373,0.46939570252284746
Decision Tree,0.0,0.05842052815146986,0.5211640211640212,0.4061855670103093,0.45654692931633833,0.4277777777777778,0.5079077028911854,0.44706025188641746
KNN Classifier,0.0,0.05530642750373692,0.563076923076923,0.37731958762886597,0.45185185185185184,0.4277777777777778,0.4947288548258284,0.4437322085432839
Naive Bayes,0.0,0.10612855007473841,0.3311867525298988,0.7422680412371134,0.4580152671755725,0.34259259259259256,0.40072364880549016,0.3565125150829534
